Name ({0, 6}) = "import"
Name ({7, 4}) = "py80"
Comment ({13, 35}) = "# this is the default py80 template"
Comment ({49, 23}) = "# edit as you feel fit!"
Name ({74, 3}) = "def"
Name ({78, 4}) = "main"
Bracket ({82, 1}) = "("
Bracket ({83, 1}) = ")"
Special ({84, 1}) = ":"
DocString ({87, 122}) = """"This is a multiline docstring
	test test test
	yeppers!
	this is a midquote "blah blah"
	and another one 'asd asd'
	""""
Comment ({212, 29}) = "# ----- strings single ----- "
Name ({243, 9}) = "stringVar"
Operator ({253, 1}) = "="
String ({255, 10}) = "'a string'"
Name ({267, 9}) = "stringVar"
Operator ({277, 1}) = "="
String ({279, 34}) = "'a string with "inner quote" here'"
Name ({315, 9}) = "stringVar"
Operator ({325, 1}) = "="
String ({327, 11}) = "u'a string'"
Name ({340, 9}) = "stringVar"
Operator ({350, 1}) = "="
String ({352, 11}) = "r'a string'"
Name ({365, 9}) = "stringVar"
Operator ({375, 1}) = "="
String ({377, 11}) = "b'a string'"
Name ({390, 9}) = "stringVar"
Operator ({400, 1}) = "="
String ({402, 11}) = "U'a string'"
Name ({415, 9}) = "stringVar"
Operator ({425, 1}) = "="
String ({427, 11}) = "R'a string'"
Name ({440, 9}) = "stringVar"
Operator ({450, 1}) = "="
String ({452, 11}) = "B'a string'"
Name ({465, 9}) = "stringVar"
Operator ({475, 1}) = "="
String ({477, 12}) = "ur'a string'"
Name ({491, 9}) = "stringVar"
Operator ({501, 1}) = "="
String ({503, 12}) = "br'a string'"
Name ({517, 9}) = "stringVar"
Operator ({527, 1}) = "="
String ({529, 12}) = "Ur'a string'"
Name ({543, 9}) = "stringVar"
Operator ({553, 1}) = "="
String ({555, 12}) = "Br'a string'"
Name ({569, 9}) = "stringVar"
Operator ({579, 1}) = "="
String ({581, 12}) = "uR'a string'"
Name ({595, 9}) = "stringVar"
Operator ({605, 1}) = "="
String ({607, 12}) = "bR'a string'"
Name ({621, 9}) = "stringVar"
Operator ({631, 1}) = "="
String ({633, 12}) = "UR'a string'"
Name ({647, 9}) = "stringVar"
Operator ({657, 1}) = "="
String ({659, 12}) = "BR'a string'"
Name ({675, 9}) = "stringVar"
Operator ({685, 1}) = "="
String ({687, 10}) = ""a string""
Name ({699, 9}) = "stringVar"
Operator ({709, 1}) = "="
String ({711, 34}) = ""a string with 'inner quote' here""
Name ({747, 9}) = "stringVar"
Operator ({757, 1}) = "="
String ({759, 11}) = "u"a string""
Name ({772, 9}) = "stringVar"
Operator ({782, 1}) = "="
String ({784, 11}) = "r"a string""
Name ({797, 9}) = "stringVar"
Operator ({807, 1}) = "="
String ({809, 11}) = "b"a string""
Name ({822, 9}) = "stringVar"
Operator ({832, 1}) = "="
String ({834, 11}) = "U"a string""
Name ({847, 9}) = "stringVar"
